Timestamp,ID (HEX),Message Name,Data (HEX),Decoded Signals,Legitimacy
1754854330.327812,02F,Accelerator_Pedal_Operation,0029,"{""Accelerator_Position"": 4.01656032887402}",Benign
1754854330.3278613,01A,Brake_Operation_Indicator,0011,"{""Brake_Percentage"": 1.6481602576826297}",Benign
1754854330.327884,058,Steering_Wheel_Operation,016F,"{""Steering_Angle"": -14.436976582960195}",Benign
1754854330.550512,02F,Accelerator_Pedal_Operation,03F7,"{""Accelerator_Position"": 99.24523123941674}",Benign
1754854330.5505474,01A,Brake_Operation_Indicator,03C9,"{""Brake_Percentage"": 94.75956549233211}",Benign
1754854330.5505693,058,Steering_Wheel_Operation,0175,"{""Steering_Angle"": -13.754935773629851}",Benign
1754854330.8801763,02F,Accelerator_Pedal_Operation,03E6,"{""Accelerator_Position"": 97.5986681467315}",Benign
1754854330.8802211,01A,Brake_Operation_Indicator,03C1,"{""Brake_Percentage"": 93.97161151019495}",Benign
1754854330.8802402,058,Steering_Wheel_Operation,01C6,"{""Steering_Angle"": -5.68458559965328}",Benign
1754854331.2689152,02F,Accelerator_Pedal_Operation,03DC,"{""Accelerator_Position"": 96.55591957040866}",Benign
1754854331.268955,01A,Brake_Operation_Indicator,0375,"{""Brake_Percentage"": 86.54277981966783}",Benign
1754854331.268973,058,Steering_Wheel_Operation,0217,"{""Steering_Angle"": 2.418571346700732}",Benign
1754854331.4533956,02F,Accelerator_Pedal_Operation,03C2,"{""Accelerator_Position"": 94.0760741566792}",Benign
1754854331.4534295,01A,Brake_Operation_Indicator,03CD,"{""Brake_Percentage"": 95.06295681177188}",Benign
1754854331.4534461,058,Steering_Wheel_Operation,01DE,"{""Steering_Angle"": -3.25847836456834}",Benign
1754854331.5888042,02F,Accelerator_Pedal_Operation,03F2,"{""Accelerator_Position"": 98.69274457726794}",Benign
1754854331.5888515,01A,Brake_Operation_Indicator,0397,"{""Brake_Percentage"": 89.83624234453748}",Benign
1754854331.5888686,058,Steering_Wheel_Operation,0192,"{""Steering_Angle"": -10.896048910137104}",Benign
1754854331.7474885,02F,Accelerator_Pedal_Operation,03F2,"{""Accelerator_Position"": 98.73929509874756}",Benign
1754854331.747533,01A,Brake_Operation_Indicator,038A,"{""Brake_Percentage"": 88.60243853393095}",Benign
1754854331.7475517,058,Steering_Wheel_Operation,0179,"{""Steering_Angle"": -13.443011720790217}",Benign
1754854332.0988324,02F,Accelerator_Pedal_Operation,03D9,"{""Accelerator_Position"": 96.30254361094495}",Benign
1754854332.0988612,01A,Brake_Operation_Indicator,0372,"{""Brake_Percentage"": 86.23958518381367}",Benign
1754854332.0988772,058,Steering_Wheel_Operation,01B7,"{""Steering_Angle"": -7.243272037588532}",Benign
1754854332.2625592,02F,Accelerator_Pedal_Operation,03CF,"{""Accelerator_Position"": 95.30763833174748}",Benign
1754854332.2625782,01A,Brake_Operation_Indicator,034B,"{""Brake_Percentage"": 82.35921324079507}",Benign
1754854332.2625973,058,Steering_Wheel_Operation,01C2,"{""Steering_Angle"": -6.058165212025379}",Benign
1754854332.5933018,02F,Accelerator_Pedal_Operation,03B8,"{""Accelerator_Position"": 93.09051211541977}",Benign
1754854332.5933397,01A,Brake_Operation_Indicator,02FA,"{""Brake_Percentage"": 74.51078963073665}",Benign
1754854332.5933568,058,Steering_Wheel_Operation,01E9,"{""Steering_Angle"": -2.1960769746440825}",Benign
1754854332.788404,02F,Accelerator_Pedal_Operation,03D3,"{""Accelerator_Position"": 95.6718693940401}",Benign
1754854332.7884643,01A,Brake_Operation_Indicator,02E3,"{""Brake_Percentage"": 72.22014300771977}",Benign
1754854332.7884955,058,Steering_Wheel_Operation,0192,"{""Steering_Angle"": -10.876247948878678}",Benign
1754854332.952422,02F,Accelerator_Pedal_Operation,03BC,"{""Accelerator_Position"": 93.42472401773713}",Benign
1754854332.952461,01A,Brake_Operation_Indicator,02D6,"{""Brake_Percentage"": 70.96566388464004}",Benign
1754854332.9524786,058,Steering_Wheel_Operation,0181,"{""Steering_Angle"": -12.647515310964934}",Benign
1754854333.4369729,02F,Accelerator_Pedal_Operation,03C0,"{""Accelerator_Position"": 93.86167699126104}",Benign
1754854333.4370027,01A,Brake_Operation_Indicator,027D,"{""Brake_Percentage"": 62.239540338297516}",Benign
1754854333.4370182,058,Steering_Wheel_Operation,01A8,"{""Steering_Angle"": -8.735857648415777}",Benign
1754854333.5290463,02F,Accelerator_Pedal_Operation,039F,"{""Accelerator_Position"": 90.56806637322943}",Benign
1754854333.5290864,01A,Brake_Operation_Indicator,02D2,"{""Brake_Percentage"": 70.58229463576112}",Benign
1754854333.5291126,058,Steering_Wheel_Operation,01FC,"{""Steering_Angle"": -0.2594403156037828}",Benign
1754854333.926908,02F,Accelerator_Pedal_Operation,038E,"{""Accelerator_Position"": 88.91276375966407}",Benign
1754854333.9269392,01A,Brake_Operation_Indicator,02D8,"{""Brake_Percentage"": 71.12966894964794}",Benign
1754854333.926956,058,Steering_Wheel_Operation,026D,"{""Steering_Angle"": 11.049132707809594}",Benign
1754854334.2834492,02F,Accelerator_Pedal_Operation,0372,"{""Accelerator_Position"": 86.19234134263812}",Benign
1754854334.2834787,01A,Brake_Operation_Indicator,027D,"{""Brake_Percentage"": 62.236085356704265}",Benign
1754854334.283496,058,Steering_Wheel_Operation,02F5,"{""Steering_Angle"": 24.644582685053717}",Benign
1754854334.4696033,02F,Accelerator_Pedal_Operation,035A,"{""Accelerator_Position"": 83.8498980012097}",Benign
1754854334.469631,01A,Brake_Operation_Indicator,0280,"{""Brake_Percentage"": 62.54927173185696}",Benign
1754854334.4696472,058,Steering_Wheel_Operation,0274,"{""Steering_Angle"": 11.703667105046803}",Benign
