Timestamp,ID (HEX),Message Name,Data (HEX),Decoded Signals,Legitimacy
1754869291.5891817,02F,Accelerator_Pedal_Operation,03CD,"{""Accelerator_Position"": 95.09887286387197}",Benign
1754869291.5892649,01A,Brake_Operation_Indicator,001F,"{""Brake_Percentage"": 3.0457189091881176}",Benign
1754869291.589291,058,Steering_Wheel_Operation,0263,"{""Steering_Angle"": 10.019866061584079}",Benign
1754869291.8312185,02F,Accelerator_Pedal_Operation,03AD,"{""Accelerator_Position"": 91.96400007928071}",Benign
1754869291.8312852,01A,Brake_Operation_Indicator,03CF,"{""Brake_Percentage"": 95.29228673876618}",Benign
1754869291.831309,058,Steering_Wheel_Operation,023E,"{""Steering_Angle"": 6.292672188529579}",Benign
1754869291.8818188,02F,Accelerator_Pedal_Operation,03A7,"{""Accelerator_Position"": 91.36379468298227}",Benign
1754869291.881858,01A,Brake_Operation_Indicator,037C,"{""Brake_Percentage"": 87.20213346386946}",Benign
1754869291.881875,058,Steering_Wheel_Operation,0263,"{""Steering_Angle"": 9.968332533221677}",Benign
1754869292.037371,02F,Accelerator_Pedal_Operation,03A3,"{""Accelerator_Position"": 90.98362435769864}",Benign
1754869292.0374086,01A,Brake_Operation_Indicator,03CD,"{""Brake_Percentage"": 95.12981536887588}",Benign
1754869292.0374272,058,Steering_Wheel_Operation,0235,"{""Steering_Angle"": 5.355893421920907}",Benign
1754869292.4228196,02F,Accelerator_Pedal_Operation,0393,"{""Accelerator_Position"": 89.4601978191163}",Benign
1754869292.422868,01A,Brake_Operation_Indicator,03B5,"{""Brake_Percentage"": 92.80389314482314}",Benign
1754869292.4228861,058,Steering_Wheel_Operation,0286,"{""Steering_Angle"": 13.543968357431808}",Benign
1754869292.598101,02F,Accelerator_Pedal_Operation,03AA,"{""Accelerator_Position"": 91.71623414535853}",Benign
1754869292.5981364,01A,Brake_Operation_Indicator,0389,"{""Brake_Percentage"": 88.49203475038915}",Benign
1754869292.5981524,058,Steering_Wheel_Operation,0319,"{""Steering_Angle"": 28.248535686926534}",Benign
1754869292.9450107,02F,Accelerator_Pedal_Operation,038C,"{""Accelerator_Position"": 88.74210553645862}",Benign
1754869292.9450443,01A,Brake_Operation_Indicator,0385,"{""Brake_Percentage"": 88.0310680888507}",Benign
1754869292.9450605,058,Steering_Wheel_Operation,0348,"{""Steering_Angle"": 32.936507800548895}",Benign
1754869293.355444,02F,Accelerator_Pedal_Operation,03B2,"{""Accelerator_Position"": 92.46647124399281}",Benign
1754869293.3554804,01A,Brake_Operation_Indicator,0323,"{""Brake_Percentage"": 78.50393503281317}",Benign
1754869293.3554971,058,Steering_Wheel_Operation,03B3,"{""Steering_Angle"": 43.55939817638766}",Benign
1754869293.4937396,02F,Accelerator_Pedal_Operation,038E,"{""Accelerator_Position"": 88.94430479187315}",Benign
1754869293.4938545,01A,Brake_Operation_Indicator,0319,"{""Brake_Percentage"": 77.49461121653228}",Benign
1754869293.4938924,058,Steering_Wheel_Operation,03AD,"{""Steering_Angle"": 43.005069367244694}",Benign
1754869293.5620036,02F,Accelerator_Pedal_Operation,0383,"{""Accelerator_Position"": 87.91978185882941}",Benign
1754869293.5620518,01A,Brake_Operation_Indicator,037F,"{""Brake_Percentage"": 87.4615448189612}",Benign
1754869293.5620682,058,Steering_Wheel_Operation,0365,"{""Steering_Angle"": 35.798335823337425}",Benign
1754869293.614044,02F,Accelerator_Pedal_Operation,03A0,"{""Accelerator_Position"": 90.67513748572965}",Benign
1754869293.6140754,01A,Brake_Operation_Indicator,03BE,"{""Brake_Percentage"": 93.66200464108147}",Benign
1754869293.6140947,058,Steering_Wheel_Operation,0346,"{""Steering_Angle"": 32.72136709246359}",Benign
1754869293.8881075,02F,Accelerator_Pedal_Operation,03BA,"{""Accelerator_Position"": 93.21025429370061}",Benign
1754869293.8881493,01A,Brake_Operation_Indicator,038D,"{""Brake_Percentage"": 88.83003211903022}",Benign
1754869293.888166,058,Steering_Wheel_Operation,0386,"{""Steering_Angle"": 39.06377639663309}",Benign
1754869294.1924577,02F,Accelerator_Pedal_Operation,03E8,"{""Accelerator_Position"": 97.71112429517036}",Benign
1754869294.192494,01A,Brake_Operation_Indicator,0344,"{""Brake_Percentage"": 81.73409043417426}",Benign
1754869294.1925125,058,Steering_Wheel_Operation,03FE,"{""Steering_Angle"": 51.1}",Benign
1754869294.5011978,02F,Accelerator_Pedal_Operation,03DC,"{""Accelerator_Position"": 96.58325479762928}",Benign
1754869294.501238,01A,Brake_Operation_Indicator,02FF,"{""Brake_Percentage"": 75.00373665118359}",Benign
1754869294.5012581,058,Steering_Wheel_Operation,03E8,"{""Steering_Angle"": 48.90590033820532}",Benign
1754869294.9197958,02F,Accelerator_Pedal_Operation,03CC,"{""Accelerator_Position"": 95.0062842765889}",Benign
1754869294.9198353,01A,Brake_Operation_Indicator,031A,"{""Brake_Percentage"": 77.60966529622677}",Benign
