Timestamp,ID (HEX),Message Name,Data (HEX),Decoded Signals,Legitimacy,Source
1754858004.4876275,02F,Accelerator_Pedal_Operation,000D,"{""Accelerator_Position"": 1.2450315694967653}",Benign,Chassis_ECU
1754858004.487685,01A,Brake_Operation_Indicator,0008,"{""Brake_Percentage"": 0.7913039945867872}",Benign,Chassis_ECU
1754858004.48771,058,Steering_Wheel_Operation,0244,"{""Steering_Angle"": 6.853223388311587}",Benign,Chassis_ECU
1754858004.670195,43,Engine_RPM_Speed,03200000,"{""Engine_RPM"": 800, ""Vehicle_Speed"": 0.0}",Benign,PowerTrain_ECU
1754858004.7271998,02F,Accelerator_Pedal_Operation,0002,"{""Accelerator_Position"": 0.18607212799565698}",Benign,Chassis_ECU
1754858004.7272384,01A,Brake_Operation_Indicator,0036,"{""Brake_Percentage"": 5.2345651045846875}",Benign,Chassis_ECU
1754858004.7272582,058,Steering_Wheel_Operation,01DE,"{""Steering_Angle"": -3.326238653351467}",Benign,Chassis_ECU
1754858004.8058758,08D,Turn_Signal_Indicator,0,"{""Left_Turn_Active"": 0, ""Right_Turn_Active"": 0, ""Hazard_Active"": 0}",Benign,Body_ECU
1754858004.806018,0A2,Horn_Operation,0,"{""Horn_Active"": 0}",Benign,Body_ECU
1754858004.8061118,290,Door_Status,1,"{""Driver_Door_Open"": 0, ""Passenger_Door_Open"": 0, ""Rear_Left_Door_Open"": 0, ""Rear_Right_Door_Open"": 0, ""All_Doors_Locked"": 1}",Benign,Body_ECU
1754858004.943719,08D,Turn_Signal_Indicator,0,"{""Left_Turn_Active"": 0, ""Right_Turn_Active"": 0, ""Hazard_Active"": 0}",Benign,Body_ECU
1754858004.9437642,0A2,Horn_Operation,0,"{""Horn_Active"": 0}",Benign,Body_ECU
1754858004.9437892,290,Door_Status,1,"{""Driver_Door_Open"": 0, ""Passenger_Door_Open"": 0, ""Rear_Left_Door_Open"": 0, ""Rear_Right_Door_Open"": 0, ""All_Doors_Locked"": 1}",Benign,Body_ECU
1754858004.9447496,02F,Accelerator_Pedal_Operation,002F,"{""Accelerator_Position"": 4.566132373310764}",Benign,Chassis_ECU
1754858004.944793,01A,Brake_Operation_Indicator,03D3,"{""Brake_Percentage"": 95.68293337719822}",Benign,Chassis_ECU
1754858004.9448202,058,Steering_Wheel_Operation,0210,"{""Steering_Angle"": 1.7151479939255694}",Benign,Chassis_ECU
1754858005.006549,02F,Accelerator_Pedal_Operation,0039,"{""Accelerator_Position"": 5.59362590081616}",Benign,Chassis_ECU
1754858005.0066032,01A,Brake_Operation_Indicator,03D7,"{""Brake_Percentage"": 96.11474069787225}",Benign,Chassis_ECU
1754858005.0066328,058,Steering_Wheel_Operation,0278,"{""Steering_Angle"": 12.08217608713636}",Benign,Chassis_ECU
1754858005.0802586,43,Engine_RPM_Speed,03200000,"{""Engine_RPM"": 800, ""Vehicle_Speed"": 0.0}",Benign,PowerTrain_ECU
1754858005.081909,08D,Turn_Signal_Indicator,0,"{""Left_Turn_Active"": 0, ""Right_Turn_Active"": 0, ""Hazard_Active"": 0}",Benign,Body_ECU
1754858005.0819418,0A2,Horn_Operation,0,"{""Horn_Active"": 0}",Benign,Body_ECU
1754858005.0819657,290,Door_Status,1,"{""Driver_Door_Open"": 0, ""Passenger_Door_Open"": 0, ""Rear_Left_Door_Open"": 0, ""Rear_Right_Door_Open"": 0, ""All_Doors_Locked"": 1}",Benign,Body_ECU
1754858005.3469915,02F,Accelerator_Pedal_Operation,0047,"{""Accelerator_Position"": 6.98184315816785}",Benign,Chassis_ECU
1754858005.3470502,01A,Brake_Operation_Indicator,0034,"{""Brake_Percentage"": 5.060042802526368}",Benign,Chassis_ECU
1754858005.3470793,058,Steering_Wheel_Operation,0297,"{""Steering_Angle"": 15.185817983873935}",Benign,Chassis_ECU
1754858005.403786,08D,Turn_Signal_Indicator,0,"{""Left_Turn_Active"": 0, ""Right_Turn_Active"": 0, ""Hazard_Active"": 0}",Benign,Body_ECU
1754858005.4038236,0A2,Horn_Operation,0,"{""Horn_Active"": 0}",Benign,Body_ECU
1754858005.403852,290,Door_Status,1,"{""Driver_Door_Open"": 0, ""Passenger_Door_Open"": 0, ""Rear_Left_Door_Open"": 0, ""Rear_Right_Door_Open"": 0, ""All_Doors_Locked"": 1}",Benign,Body_ECU
