Timestamp,ID (HEX),Message Name,Data (HEX),Decoded Signals,Legitimacy
1754869342.2190294,3AE,Fuzzing_Attack,02,{},Malign
1754869342.6866033,50E,Fuzzing_Attack,C0DD82DA2C49C1C8,{},Malign
1754869343.1048632,429,Fuzzing_Attack,4F3F4AD5,{},Malign
1754869343.2989967,382,Fuzzing_Attack,2800A59C13EAE1FB,{},Malign
1754869343.6188238,790,Fuzzing_Attack,5BCCD222,{},Malign
1754869343.8298407,4ED,Fuzzing_Attack,94,{},Malign
1754869344.031618,2FF,Fuzzing_Attack,A7267EA70EC39F,{},Malign
1754869344.2149913,548,Fuzzing_Attack,9FA68A,{},Malign
1754869344.6905975,721,Fuzzing_Attack,DB7F3D59,{},Malign
1754869344.9259088,5E2,Fuzzing_Attack,429352132A19,{},Malign
1754869345.3094997,213,Fuzzing_Attack,CE59BA4FAA,{},Malign
1754869345.568702,003,Fuzzing_Attack,01942C,{},Malign
1754869346.0432208,550,Fuzzing_Attack,,{},Malign
1754869346.4694958,342,Fuzzing_Attack,DE5273E2FE63,{},Malign
1754869346.5440118,3FF,Fuzzing_Attack,B705,{},Malign
1754869346.7114565,1C6,Fuzzing_Attack,D68FD974,{},Malign
1754869347.0029202,330,Fuzzing_Attack,ECEFB815,{},Malign
1754869347.4847324,1A6,Fuzzing_Attack,D440F68B,{},Malign
1754869347.7281902,1E2,Fuzzing_Attack,6A212079E4,{},Malign
1754869348.1229434,18D,Fuzzing_Attack,C66E,{},Malign
1754869348.4167933,215,Fuzzing_Attack,F5698FAE552184,{},Malign
1754869348.7106686,51D,Fuzzing_Attack,FA3A,{},Malign
1754869348.9878087,534,Fuzzing_Attack,126412E63C0A6D3D,{},Malign
1754869349.275804,67E,Fuzzing_Attack,,{},Malign
1754869349.4385347,56F,Fuzzing_Attack,6224D492F030,{},Malign
1754869349.885018,26E,Fuzzing_Attack,2385730A,{},Malign
1754869350.0847096,324,Fuzzing_Attack,0BF7F0,{},Malign
