Timestamp,ID (HEX),Message Name,Data (HEX),Decoded Signals,Legitimacy
1754854336.1338975,379,Fuzzing_Attack,75,{},Malign
1754854336.4751656,2EA,Fuzzing_Attack,,{},Malign
1754854336.735083,27A,Fuzzing_Attack,,{},Malign
1754854336.9185145,342,Fuzzing_Attack,4A17249A,{},Malign
1754854337.3573554,7EC,Fuzzing_Attack,CD2DA062812EFA77,{},Malign
1754854337.4968412,33D,Fuzzing_Attack,B756E869B5E6,{},Malign
1754854337.633787,3BB,Fuzzing_Attack,BD,{},Malign
1754854338.0238473,697,Fuzzing_Attack,A19AA1714E,{},Malign
1754854338.2874706,145,Fuzzing_Attack,47,{},Malign
1754854338.7201908,7E6,Fuzzing_Attack,1921CB521FD2,{},Malign
1754854339.0214255,374,Fuzzing_Attack,178A5197DC3B47,{},Malign
1754854339.4557514,4EA,Fuzzing_Attack,55A16E374D,{},Malign
1754854339.902115,783,Fuzzing_Attack,2C22FD135E,{},Malign
1754854340.3458045,663,Fuzzing_Attack,08DA219645,{},Malign
1754854340.7845237,1C0,Fuzzing_Attack,27,{},Malign
1754854340.890118,514,Fuzzing_Attack,,{},Malign
1754854341.3884063,2AE,Fuzzing_Attack,9FE7F6,{},Malign
1754854341.8322115,5B5,Fuzzing_Attack,,{},Malign
1754854342.077882,2AE,Fuzzing_Attack,7307,{},Malign
1754854342.346748,78B,Fuzzing_Attack,,{},Malign
1754854342.7099147,27B,Fuzzing_Attack,F185CF,{},Malign
1754854343.015267,248,Fuzzing_Attack,D050717D5C280CCB,{},Malign
1754854343.3065393,174,Fuzzing_Attack,7C,{},Malign
1754854343.8061466,385,Fuzzing_Attack,87F9ACBF,{},Malign
1754854343.9467123,6BE,Fuzzing_Attack,AA726024620217,{},Malign
1754854344.0397844,671,Fuzzing_Attack,D96E,{},Malign
1754854344.3703299,725,Fuzzing_Attack,0B13,{},Malign
1754854344.8538396,4B1,Fuzzing_Attack,7B,{},Malign
1754854345.089032,524,Fuzzing_Attack,FE2CAB8B,{},Malign
1754854345.242047,5B2,Fuzzing_Attack,850652F7CEF8,{},Malign
1754854345.4466207,442,Fuzzing_Attack,,{},Malign
1754854345.8698523,60D,Fuzzing_Attack,3EE1,{},Malign
1754854346.2187827,0DB,Fuzzing_Attack,CAB04AD6D6DC31,{},Malign
1754854346.535273,0F3,Fuzzing_Attack,F9B0F636,{},Malign
1754854346.7791853,603,Fuzzing_Attack,A07C182B33893A,{},Malign
1754854347.102653,1D1,Fuzzing_Attack,,{},Malign
1754854347.4272568,110,Fuzzing_Attack,E1,{},Malign
1754854347.821736,448,Fuzzing_Attack,,{},Malign
1754854348.2618628,055,Fuzzing_Attack,,{},Malign
1754854348.6344242,69A,Fuzzing_Attack,72E1AB271D8517E4,{},Malign
1754854348.9432814,584,Fuzzing_Attack,19B266,{},Malign
1754854349.3756268,1A9,Fuzzing_Attack,FBF90835D4,{},Malign
1754854349.6614337,4F3,Fuzzing_Attack,F9,{},Malign
1754854349.77314,036,Fuzzing_Attack,43A4AB8CED1D,{},Malign
1754854350.0211172,31D,Fuzzing_Attack,A56EDC47,{},Malign
1754854350.408229,232,Fuzzing_Attack,6BA5EE52A855D9,{},Malign
1754854350.5817208,347,Fuzzing_Attack,CE,{},Malign
1754854350.9361794,0E9,Fuzzing_Attack,6EB6,{},Malign
1754854351.0238578,169,Fuzzing_Attack,8753E9D41D,{},Malign
1754854351.2558637,09E,Fuzzing_Attack,0A79E39D72B2,{},Malign
1754854351.5863256,336,Fuzzing_Attack,03A6,{},Malign
1754854351.9584894,1D3,Fuzzing_Attack,E2,{},Malign
1754854352.3593004,7C2,Fuzzing_Attack,B17D26C6F70B4DF9,{},Malign
1754854352.707321,486,Fuzzing_Attack,D0CA2016E0F30E,{},Malign
1754854353.0342903,75F,Fuzzing_Attack,24EA,{},Malign
1754854353.2809668,474,Fuzzing_Attack,868C8E194CA7B1,{},Malign
1754854353.5626502,0FC,Fuzzing_Attack,0F2871,{},Malign
1754854353.7379348,25F,Fuzzing_Attack,1D3EAE9F423B70,{},Malign
1754854353.8240244,3B6,Fuzzing_Attack,48E2,{},Malign
1754854354.1193268,6F9,Fuzzing_Attack,BB,{},Malign
1754854354.5847754,650,Fuzzing_Attack,,{},Malign
1754854354.724975,461,Fuzzing_Attack,5BB77CB3,{},Malign
1754854354.8563325,095,Fuzzing_Attack,65BAC697BDFC,{},Malign
1754854355.0671256,0CB,Fuzzing_Attack,5DD883BF3B08,{},Malign
1754854355.2532969,220,Fuzzing_Attack,52BA6B0D,{},Malign
1754854355.3695524,49E,Fuzzing_Attack,,{},Malign
1754854355.6530933,1FC,Fuzzing_Attack,EF82146E628E,{},Malign
1754854355.957301,67C,Fuzzing_Attack,B8094BD9D2AB8F53,{},Malign
1754854356.4129064,7F0,Fuzzing_Attack,EDB3A2,{},Malign
1754854356.6260765,1B1,Fuzzing_Attack,,{},Malign
1754854356.71511,7C5,Fuzzing_Attack,CBDC,{},Malign
1754854357.1422215,490,Fuzzing_Attack,2040,{},Malign
1754854357.4562929,187,Fuzzing_Attack,4C7C80F0DCF44C,{},Malign
1754854357.837985,471,Fuzzing_Attack,41CD639584D7,{},Malign
1754854358.048216,1E7,Fuzzing_Attack,53832D,{},Malign
1754854358.3764715,3EF,Fuzzing_Attack,7D25275B2C398A,{},Malign
1754854358.6377947,4D6,Fuzzing_Attack,,{},Malign
1754854358.9669704,38B,Fuzzing_Attack,E73640A6,{},Malign
1754854359.1493134,2CC,Fuzzing_Attack,477B37DB235A,{},Malign
