Timestamp,ID (HEX),Message Name,Data (HEX),Decoded Signals,Legitimacy
1754869291.742875,043,Engine_RPM_Speed,03200000,"{""Engine_RPM"": 800, ""Vehicle_Speed"": 0.0}",Benign
1754869291.823571,043,Engine_RPM_Speed,03200000,"{""Engine_RPM"": 800.0, ""Vehicle_Speed"": 0.0}",Benign
1754869292.1031563,043,Engine_RPM_Speed,08610022,"{""Engine_RPM"": 2144.55125, ""Vehicle_Speed"": 33.61378125}",Benign
1754869292.3240533,043,Engine_RPM_Speed,0D5E0042,"{""Engine_RPM"": 3421.8749374999998, ""Vehicle_Speed"": 65.5468734375}",Benign
1754869292.5623183,043,Engine_RPM_Speed,1208005F,"{""Engine_RPM"": 4615.782440624999, ""Vehicle_Speed"": 95.39456101562499}",Benign
1754869292.9395738,043,Engine_RPM_Speed,16B8007D,"{""Engine_RPM"": 5816.464568593749, ""Vehicle_Speed"": 125.41161421484374}",Benign
1754869293.1431513,043,Engine_RPM_Speed,17700082,"{""Engine_RPM"": 6000, ""Vehicle_Speed"": 130.0}",Benign
1754869293.2818773,043,Engine_RPM_Speed,17700082,"{""Engine_RPM"": 6000, ""Vehicle_Speed"": 130.0}",Benign
1754869293.4649317,043,Engine_RPM_Speed,17700082,"{""Engine_RPM"": 6000, ""Vehicle_Speed"": 130.0}",Benign
1754869293.719926,043,Engine_RPM_Speed,17700082,"{""Engine_RPM"": 6000, ""Vehicle_Speed"": 130.0}",Benign
1754869293.8622596,043,Engine_RPM_Speed,17700082,"{""Engine_RPM"": 6000, ""Vehicle_Speed"": 130.0}",Benign
1754869294.3124068,043,Engine_RPM_Speed,17700082,"{""Engine_RPM"": 6000, ""Vehicle_Speed"": 130.0}",Benign
1754869294.784513,043,Engine_RPM_Speed,17700082,"{""Engine_RPM"": 6000, ""Vehicle_Speed"": 130.0}",Benign
1754869295.2321093,043,Engine_RPM_Speed,17700082,"{""Engine_RPM"": 6000, ""Vehicle_Speed"": 130.0}",Benign
1754869295.516751,043,Engine_RPM_Speed,14D90071,"{""Engine_RPM"": 5336.78125, ""Vehicle_Speed"": 113.41953125}",Benign
1754869295.6140962,043,Engine_RPM_Speed,12630062,"{""Engine_RPM"": 4706.7234375, ""Vehicle_Speed"": 97.6680859375}",Benign
1754869295.8847895,043,Engine_RPM_Speed,108E0056,"{""Engine_RPM"": 4238.176015625, ""Vehicle_Speed"": 85.95440039062501}",Benign
1754869296.0004046,043,Engine_RPM_Speed,0EC0004A,"{""Engine_RPM"": 3775.9497148437504, ""Vehicle_Speed"": 74.39874287109376}",Benign
1754869296.2433145,043,Engine_RPM_Speed,0D09003F,"{""Engine_RPM"": 3336.834729101563, ""Vehicle_Speed"": 63.420868227539074}",Benign
1754869296.556718,043,Engine_RPM_Speed,0B180033,"{""Engine_RPM"": 2840.497992646485, ""Vehicle_Speed"": 51.01244981616212}",Benign
1754869296.912623,043,Engine_RPM_Speed,099E002A,"{""Engine_RPM"": 2461.8405930141607, ""Vehicle_Speed"": 41.54601482535402}",Benign
1754869297.3274248,043,Engine_RPM_Speed,0FC40051,"{""Engine_RPM"": 4036.099813363453, ""Vehicle_Speed"": 80.90249533408632}",Benign
1754869297.5146263,043,Engine_RPM_Speed,15910076,"{""Engine_RPM"": 5520.89357269528, ""Vehicle_Speed"": 118.022339317382}",Benign
